Tamanho da Mensagem;Tempo de Resposta
90998;1,018580116
62053;1,009231013
87572;1,020222595
9047;1,013622785
15500;1,010298012
33847;1,010182703
84999;1,009847476
10228;1,010255369
31228;1,008002992
46460;1,009996163
27797;1,008062761
99492;1,009492554
83020;1,012089153
35550;1,007876494
70553;1,013029823
40395;1,010359736
57738;1,009077762
51075;1,009574733
86681;1,008658977
99231;1,010172764
78371;1,009431815
53686;1,008641652
52215;1,010841655
43022;1,008127248
23919;1,009403
19371;1,010081904
90883;1,011714999
66979;1,010086281
44483;1,00888112
82052;1,008685794
78696;1,008607908
67858;1,007671938
52414;1,007936828
38429;1,009567224
71771;1,009507896
52202;1,007082761
10547;1,009163956
78489;1,006693962
7964;1,012738565
94917;1,008045642
78345;1,009473611
33419;1,010403051
29756;1,008670093
5000;1,012508668
30219;1,009453192
6371;1,00899297
7392;1,010460088
69311;1,009529916
13151;1,008865044
55869;1,005920046
