1 Slave;;2 Slaves;;3 Slaves;;4 Slaves;;5 Slaves;;6 Slaves;;7 Slaves;;8 Slaves;
 Tamanho da Mensagem;Tempo de Resposta; Tamanho da Mensagem;Tempo de Resposta;Tamanho da Mensagem;Tempo de Resposta;Tamanho da Mensagem;Tempo de Resposta;Tamanho da Mensagem;Tempo de Resposta;Tamanho da Mensagem;Tempo de Resposta;Tamanho da Mensagem;Tempo de Resposta;Tamanho da Mensagem;Tempo de Resposta
12144;21,015122834;9459;11,013452597;83838;45,068770767;36184;20,038410053;20871;13,019462484;45192;23,078376165;1262;9,085218282;76938;39,14926764
89100;109,021371052;46010;33,015205783;8326;7,012024903;8451;7,024957987;78269;38,052467573;18178;11,040172192;83072;41,087515099;63567;34,059268353
73701;90,019844264;60064;41,010507478;53493;31,041104;95410;48,033504537;27472;15,019718319;20467;13,034755696;51043;28,057801487;30084;16,063640683
32696;43,017328502;9480;10,013139;37360;23,014431316;40940;23,024685012;88165;45,024114748;5299;6,033910512;79979;42,063726066;10804;7,058523956
67292;83,018704356;89646;59,013646978;15904;11,013456757;25776;14,014982001;87124;45,023312086;64684;33,045031348;21358;12,074804686;43656;22,065290544
49999;63,016558622;84544;55,01479156;99413;55,019610224;11735;9,00957705;41467;23,022602572;58768;30,048686278;40494;21,046033036;26317;16,063575503
56810;71,0147244;55149;37,015542947;53482;31,016019926;49963;26,035518504;35310;18,020769107;89857;45,031565589;81066;42,099254134;95261;50,049908151
13822;22,010014402;17426;14,01237127;24735;17,013066999;44462;24,016987626;33253;20,018430902;6935;6,035741733;13247;10,09425063;97079;51,07717874
87615;106,017818298;17708;15,010643759;22640;15,012973636;45762;25,016471814;48949;28,02080878;26913;16,025665601;34645;18,0412591;78090;43,06946435
86725;105,019079194;34063;24,011272502;76682;44,015292983;64732;35,024765141;29188;17,019854911;3953;5,019148322;37911;22,081231601;51091;28,087929457
13038;21,010263459;57006;39,01556626;29510;20,015807457;76649;39,023788926;95285;49,052828161;32417;17,027253345;84532;45,079879193;80141;42,080736493
35157;46,011996625;88779;58,016651361;89072;50,016490993;91925;47,032639419;58469;31,04126014;63235;34,027853591;75352;41,061636269;54841;30,061074139
15223;23,009477741;64520;43,013408412;74292;43,015563428;39277;22,029149655;38498;21,028443359;64419;33,042562514;74212;39,070517317;90915;48,114834656
34424;45,010876526;92503;61,016356203;73383;43,033507893;30926;18,024799687;2294;4,024700946;85771;43,033273211;35504;18,075080505;51939;29,080512465
15113;23,012228117;20498;16,014959193;83287;47,017190543;61972;32,017425591;55665;29,038542006;78165;40,050468828;2670;5,069591228;58816;30,085529213
5049;12,011828278;56452;38,019459437;15078;11,01417875;71711;37,031513185;13082;9,023139229;64982;33,054111242;30570;19,116363186;24806;16,050073749
21714;31,011028865;79729;52,012232706;62957;36,014331436;52997;28,038872847;12776;9,016287046;76822;39,028921857;10554;8,072645131;92516;49,056256258
47596;60,01200752;32990;24,01425992;36516;23,017033876;83054;42,023118878;38985;21,042398361;63444;33,045079506;38461;22,071138945;8099;6,059562465
42902;55,012032414;35823;26,011842354;53993;31,020718949;61743;33,017357279;14315;9,017193911;54947;29,026466729;20453;12,03729796;9317;7,055930996
1099;7,008870793;61893;41,013347553;7287;7,014822818;21804;12,023754078;29354;17,060726197;6751;6,025520651;1166;4,049018283;76705;39,088858071
2930;9,009422452;11196;11,011338128;11008;9,012530069;26768;14,024774964;23332;15,029255942;55098;29,022545488;87149;45,043446532;26718;17,073967989
33260;44,012110763;60794;41,013958403;60342;35,016273334;25411;16,014014798;60088;32,015194465;13257;10,018657253;98387;51,043613289;51031;26,053418181
19662;28,009102854;27600;21,010529932;14775;11,021674182;44643;25,021766567;51637;27,025039541;42496;23,032726638;53899;28,063347783;93534;50,070585832
90018;109,019304234;46964;32,013515009;7548;7,030408996;42055;24,018028814;43361;22,023500571;86197;44,030437334;96012;49,059894304;71115;36,075879322
93419;113,015668079;65593;44,012240078;45237;27,018303004;46967;26,015359587;73660;39,077127422;50881;28,042154293;52085;30,080639362;73698;38,062559291
32631;43,013976271;7669;9,010450756;10711;9,012736656;2909;4,012705082;93132;48,022380158;15051;10,035087749;31614;17,043180101;1534;4,06124078
78898;96,016242652;35910;26,01299935;36690;22,01439456;92696;48,022378249;94870;48,044091816;27877;15,025946498;81790;44,101423596;69823;36,12388827
92324;112,016021773;16352;14,012032663;12040;9,012478581;9652;7,013358719;3976;5,017805268;42174;23,029540648;46346;24,050422955;75731;38,096017967
28272;38,012294038;46393;32,013677529;71231;41,028590359;88404;45,018528493;77581;39,03994925;39869;22,047425337;72253;39,056032188;78522;40,065941187
70279;86,014609233;50759;35,012223193;2636;5,020992265;40860;21,017152843;1018;4,032119977;90962;46,040915779;85551;44,031952942;92495;46,070408844
16496;25,008952532;56086;38,012366146;51986;32,017795529;98010;50,030623295;45222;25,024651786;46152;24,030700961;72307;37,07340331;54176;30,060624651
63912;79,014327532;23090;18,012494508;30191;18,016599234;74405;38,024898286;82889;42,019932835;51405;27,044282831;19241;13,069306199;7910;7,078535007
83516;102,01636256;89748;59,013965328;6258;7,012428519;75153;40,021111637;65742;35,023947501;4343;5,03155042;49154;28,070564808;70920;36,062551084
23771;33,016307854;19333;16,01023759;58166;33,011596168;35562;20,034077741;29547;17,019779251;89274;45,030233228;22134;14,062327662;40942;21,059106672
44370;57,013696446;65411;44,012850693;94258;53,022525905;73804;38,018840109;73190;38,0198882;57128;29,043042517;14671;10,064281846;94814;51,072330526
34088;45,011827113;21143;17,012165232;16681;12,023332177;22776;13,018484476;45191;23,031912737;98418;49,026500908;79048;42,079705796;50292;26,070322076
54130;68,013281003;27883;21,011289751;74730;42,015406901;84104;42,017984272;39645;22,018562311;31296;18,039508261;5807;6,104697594;41357;24,037502262
49804;63,015055149;69457;46,013401442;40819;24,013369595;61741;33,019863231;84651;45,022977429;14283;9,032814194;6476;6,040931944;93254;50,100136027
46725;59,013711993;68508;46,01376414;29522;18,012419488;89599;45,017745413;14845;10,031062195;17135;10,017103854;78301;40,034453199;58508;30,075299193
81084;98,014441568;63083;42,013889213;67129;39,024930771;42878;22,015383565;20626;12,021013983;59772;31,028675569;53104;27,078509299;12279;9,058366692
42360;54,012107671;83938;55,012679227;91151;51,020880792;28443;17,045526654;65633;33,026305465;22150;14,035364742;36095;21,072885003;9021;7,055266307
59247;74,013764902;26496;20,011201513;25026;17,0149969;84429;44,020893895;91750;47,02070285;79624;41,038054585;77028;42,062151714;6842;6,061498753
6067;13,008616212;86644;57,011946336;68052;40,014694843;55165;30,02323522;32266;17,014271575;40801;21,040734366;8910;7,049677359;76463;41,054744549
86880;106,015143442;89192;58,013988733;46173;28,023255625;65348;33,025254495;40502;22,019459767;83488;43,065355112;11716;8,026510284;49783;26,062662644
14721;23,012146647;46738;32,015974988;17716;13,011704565;80676;42,021680298;3748;5,016823319;86647;43,042747252;45849;26,037651077;2891;5,071616169
88745;108,015525725;64935;44,01113245;74083;43,01256415;18137;12,016356521;23609;13,024438765;79475;41,048553929;18329;12,030075647;17182;10,08165882
80099;97,018221411;87587;57,026317925;69401;40,018426004;68447;36,024748783;78767;42,034984985;36432;21,039028281;27739;16,066855199;20021;13,066846782
59968;75,013903212;73366;49,0224247;79585;45,012933152;24542;15,027247288;61862;33,033777799;79117;40,034745122;18390;12,031684565;32061;17,085340553
92503;112,022074504;51648;35,014615012;6414;7,01667026;26780;16,015385018;20349;11,046903644;90849;47,046151877;42863;24,056928913;84138;43,039300349
19972;29,010268607;91922;60,01496604;54904;32,013747151;11075;8,019141491;78873;40,028911915;63197;33,035193331;70793;38,05539916;45370;27,05487571
;;;;;;;;;;;;;;;
50,34min para terminar;;27,15min;;22,40min;;22,20min;;21,40min;;22,11min;;20,29;;23,18;
