Tamanho da Mensagem;Tempo de Resposta
0;45,43918622816113
5000;113,38139515298286
10000;187,8861169935175
15000;256,967081471727
20000;326,9616727041927
25000;396,80152955571265
30000;463,4042841706248
35000;533,8249750510864
40000;603,7090059867634
45000;671,9409495520366
50000;741,1771755342572
55000;808,351933017564
60000;880,0551675245408
65000;944,1701706691325
70000;1005,1874568573205
75000;1066,8274001712125
80000;1096,4283856866305
85000;1168,110360662078
90000;1226,1120567365908
95000;1305,594291381978
100000;1361,5823831897023
