Tamanho da Mensagem;Tempo de Resposta;;
83838;45,068770767;;
8326;7,012024903;;22,40min
53493;31,041104;;
37360;23,014431316;;
15904;11,013456757;;
99413;55,019610224;;
53482;31,016019926;;
24735;17,013066999;;
22640;15,012973636;;
76682;44,015292983;;
29510;20,015807457;;
89072;50,016490993;;
74292;43,015563428;;
73383;43,033507893;;
83287;47,017190543;;
15078;11,01417875;;
62957;36,014331436;;
36516;23,017033876;;
53993;31,020718949;;
7287;7,014822818;;
11008;9,012530069;;
60342;35,016273334;;
14775;11,021674182;;
7548;7,030408996;;
45237;27,018303004;;
10711;9,012736656;;
36690;22,01439456;;
12040;9,012478581;;
71231;41,028590359;;
2636;5,020992265;;
51986;32,017795529;;
30191;18,016599234;;
6258;7,012428519;;
58166;33,011596168;;
94258;53,022525905;;
16681;12,023332177;;
74730;42,015406901;;
40819;24,013369595;;
29522;18,012419488;;
67129;39,024930771;;
91151;51,020880792;;
25026;17,0149969;;
68052;40,014694843;;
46173;28,023255625;;
17716;13,011704565;;
74083;43,01256415;;
69401;40,018426004;;
79585;45,012933152;;
6414;7,01667026;;
54904;32,013747151;;
