Tamanho da Mensagem;Tempo de Resposta;;;
45192;23,078376165;;;
18178;11,040172192;;;
20467;13,034755696;;;22,11min
5299;6,033910512;;;
64684;33,045031348;;;
58768;30,048686278;;;
89857;45,031565589;;;
6935;6,035741733;;;
26913;16,025665601;;;
3953;5,019148322;;;
32417;17,027253345;;;
63235;34,027853591;;;
64419;33,042562514;;;
85771;43,033273211;;;
78165;40,050468828;;;
64982;33,054111242;;;
76822;39,028921857;;;
63444;33,045079506;;;
54947;29,026466729;;;
6751;6,025520651;;;
55098;29,022545488;;;
13257;10,018657253;;;
42496;23,032726638;;;
86197;44,030437334;;;
50881;28,042154293;;;
15051;10,035087749;;;
27877;15,025946498;;;
42174;23,029540648;;;
39869;22,047425337;;;
90962;46,040915779;;;
46152;24,030700961;;;
51405;27,044282831;;;
4343;5,03155042;;;
89274;45,030233228;;;
57128;29,043042517;;;
98418;49,026500908;;;
31296;18,039508261;;;
14283;9,032814194;;;
17135;10,017103854;;;
59772;31,028675569;;;
22150;14,035364742;;;
79624;41,038054585;;;
40801;21,040734366;;;
83488;43,065355112;;;
86647;43,042747252;;;
79475;41,048553929;;;
36432;21,039028281;;;
79117;40,034745122;;;
90849;47,046151877;;;
63197;33,035193331;;;
