Tamanho da Mensagem;Tempo de Resposta
80338;1,047217742
8868;1,02300994
33482;1,024998359
2912;1,019629424
97881;1,022455279
8759;1,018717722
89440;1,020489709
52393;1,020338177
49859;1,018121176
91048;1,022452546
70809;1,019624187
26007;1,018398939
74112;1,018710816
37715;1,018758209
29631;1,018751209
47508;1,020568218
89860;1,017049643
10343;1,01928183
76984;1,016591518
21928;1,017540719
57066;1,016085957
70275;1,017777416
14492;1,017676394
57665;1,029549698
25904;1,015732107
72961;1,018388648
70748;1,017840209
10503;1,016906987
88234;1,01900559
43293;1,017497411
54187;1,017140147
18926;1,018999432
63082;1,019020111
6833;1,016289965
3002;1,013941577
93431;1,018858409
48790;1,01728456
44816;1,015438708
77751;1,016690728
80464;1,01735081
8220;1,014091251
95012;1,02445398
41765;1,041670427
55151;1,014048165
35326;1,014912378
25976;1,016707026
97074;1,017199771
61060;1,016785496
94804;1,021735229
97275;1,019209028
