 Tamanho da Mensagem;Tempo de Resposta;;27,15min
9459;11,013452597;;
46010;33,015205783;;
60064;41,010507478;;
9480;10,013139;;
89646;59,013646978;;
84544;55,01479156;;
55149;37,015542947;;
17426;14,01237127;;
17708;15,010643759;;
34063;24,011272502;;
57006;39,01556626;;
88779;58,016651361;;
64520;43,013408412;;
92503;61,016356203;;
20498;16,014959193;;
56452;38,019459437;;
79729;52,012232706;;
32990;24,01425992;;
35823;26,011842354;;
61893;41,013347553;;
11196;11,011338128;;
60794;41,013958403;;
27600;21,010529932;;
46964;32,013515009;;
65593;44,012240078;;
7669;9,010450756;;
35910;26,01299935;;
16352;14,012032663;;
46393;32,013677529;;
50759;35,012223193;;
56086;38,012366146;;
23090;18,012494508;;
89748;59,013965328;;
19333;16,01023759;;
65411;44,012850693;;
21143;17,012165232;;
27883;21,011289751;;
69457;46,013401442;;
68508;46,01376414;;
63083;42,013889213;;
83938;55,012679227;;
26496;20,011201513;;
86644;57,011946336;;
89192;58,013988733;;
46738;32,015974988;;
64935;44,01113245;;
87587;57,026317925;;
73366;49,0224247;;
51648;35,014615012;;
91922;60,01496604;;
