Tamanho da Mensagem;Tempo de Resposta
76938;39,14926764
63567;34,059268353
30084;16,063640683
10804;7,058523956
43656;22,065290544
26317;16,063575503
95261;50,049908151
97079;51,07717874
78090;43,06946435
51091;28,087929457
80141;42,080736493
54841;30,061074139
90915;48,114834656
51939;29,080512465
58816;30,085529213
24806;16,050073749
92516;49,056256258
8099;6,059562465
9317;7,055930996
76705;39,088858071
26718;17,073967989
51031;26,053418181
93534;50,070585832
71115;36,075879322
73698;38,062559291
1534;4,06124078
69823;36,12388827
75731;38,096017967
78522;40,065941187
92495;46,070408844
54176;30,060624651
7910;7,078535007
70920;36,062551084
40942;21,059106672
94814;51,072330526
50292;26,070322076
41357;24,037502262
93254;50,100136027
58508;30,075299193
12279;9,058366692
9021;7,055266307
6842;6,061498753
76463;41,054744549
49783;26,062662644
2891;5,071616169
17182;10,08165882
20021;13,066846782
32061;17,085340553
84138;43,039300349
45370;27,05487571
