Tamanho da Mensagem;Tempo de Resposta
45905;1,013095524
55654;1,006505997
29431;1,00599538
19648;1,007237472
3348;1,011353339
67279;1,006731984
25874;1,006393603
44202;1,006351213
81540;1,005165119
89645;1,006722423
47630;1,007719989
44707;1,007394408
9026;1,004087118
60160;1,006237368
68079;1,006653105
56442;1,010226543
41540;1,007940227
37280;1,008547927
31306;1,006380342
8929;1,009396659
55125;1,008643055
42135;1,007977223
37039;1,008187668
54012;1,008012923
47171;1,006182309
96782;1,006868336
75754;1,005259056
89173;1,007364709
47504;1,007875069
68869;1,008168065
56040;1,007696026
35781;1,008826738
86572;1,006006584
92907;1,008215475
85991;1,007430014
96483;1,010120892
61384;1,007418193
53515;1,007869417
91272;1,005036623
21310;1,006246747
77521;1,006960989
69382;1,010046399
1665;1,012805263
17699;1,006090379
27189;1,007139596
95448;1,00766575
61014;1,007370093
75973;1,008137685
51924;1,005743007
7088;1,013044119
